Vigencia_Ejecucion;No_Localidad;Nombre_Localidad;Sector;Entidad;Codigo_Proyecto;Cod_meta_proyecto_extendida;Meta_proyecto;No_CRP;Fecha_Registro;No_Compromiso;Compromiso;Plazo;Objeto;Modalidad_seleccion;Descripcion_Mod_Selec;Tipo_Doc_BP_Beneficiario;Valor_CRP_Asignado_presupuestos_participativos;Codigo_propuestas_financiadas_CRP
2021;1;Usaquén;AMBIENTE;JBB;1932;24;Implementar 4 acciones de fomento para la agricultura urbana;790;4/03/2021;126 2021;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;302;PRESTAR LOS SERVICIOS PROFESIONALES A LA ALCALDÍA LOCAL DE USAQUEN PARA APOYAR LA EJECUCIÓN DEL PROYECTO CULTIVANDO EN USAQUÉN Y SUS COMPONENTES TECNICOS Y ADMINISTRATIVOS, CONTEMPLADOS EN EL PLAN DEDESARROLLO LOCAL USAQUÉN REVERDECE 2021-2024: UN NUEVO C;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 45.000.000;US015
2021;1;Usaquén;AMBIENTE;JBB;1932;24;Implementar 4 acciones de fomento para la agricultura urbana;1011;20/08/2021;296 2021;CONTRATO DE PRESTACION DE SERVICIOS;133;PRESTAR LOS SERVICIOS DE ASISTENCIA TÉCNICA, LOGISTICA Y ORGANIZACIONAL PARA LA EJECUCIÓN DE LOS COMPONENTES DE AGRICULTURA URBANA, EDUCACIÓN AMBIENTAL Y REACTIVACIÓN INCLUIDOS EN LOS PROYECTOS DE INVERSIÓN CULTIVANDO EN USAQUÉN, USAQUÉN MÁS VERDE Y REACT;01;LICITACIÓN PÚBLICA;NIT;$ 90.137.696;US015
2021;1;Usaquén;AMBIENTE;JBB;1932;24;Implementar 4 acciones de fomento para la agricultura urbana;1014;24/08/2021;304 2021;CONTRATO DE PRESTACION DE SERVICIOS;129;PRESTAR LOS SERVICIOS DE PRODUCCIÓN DE LOS DIFERENTES EVENTOS, REUNIONES O ACTIVIDADES EN QUE TENGA RESPONSABILIDAD EL FDLUSA EN EL MARCO DEL CUMPLIMIENTO DEL PDL USAQUÉN REVERDECE 2021-2024 UN NUEVO CONTRATO SOCIAL Y AMBIENTAL PARA USAQUÉN VIGENCIA 2021;01;LICITACIÓN PÚBLICA;NIT;$ 50.533.617;US015
2021;1;Usaquén;AMBIENTE;IDPYBA;1933;35;Atender 4000 animales en urgencias, brigadas médicoveterinarias, acciones de esterilización, educación y adopción.;837;16/03/2021;161 2021;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;244;APOYAR AL ALCALDE LOCAL EN LA PROMOCIÓN, ARTICULACIÓN, ACOMPAÑAMIENTO Y SEGUIMIENTO PARA LA ATENCIÓN Y PROTECCIÓN DE LOS ANIMALES DOMÉSTICOS Y SILVESTRES DE LA LOCALIDAD;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 40.000.000;"US002;US006"
2021;1;Usaquén;AMBIENTE;IDPYBA;1933;35;Atender 4000 animales en urgencias, brigadas médicoveterinarias, acciones de esterilización, educación y adopción.;974;12/07/2021;273 2021;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;172;APOYAR AL ALCALDE LOCAL EN LA PROMOCIÓN, DISEÑO E IMPLEMENTACIÓN DE ESTRATEGIAS QUE IMPULSEN LAS ACTIVIDADES ORIENTADAS A LA PROTECCIÓN EL BIENESTAR DE LOS ANIMALES DOMÉSTICOS Y SILVESTRES DE LA LOCALIDAD Y EL TRABAJO COMUNITARIO;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 23.404.034;"US002;US006"
2021;1;Usaquén;AMBIENTE;IDPYBA;1933;35;Atender 4000 animales en urgencias, brigadas médicoveterinarias, acciones de esterilización, educación y adopción.;1003;7/08/2021;295 2021;CONTRATO DE PRESTACION DE SERVICIOS;146;CONTRATAR UN OPERADOR PARA LA EJECUCION DE LOS COMPONENTES DE PROTECCION Y BIENESTAR ANIMAL MEDIANTE LOS SERVICIOS DE ESTERILIZACIONES QUIRURGICAS PARA CANINOS, FELINOS, BRIGADAS MÉDICAS Y ATENCION DE URGENCIAS MÉDICAS VETERINARIAS, INCLUIDOS EN EL PROYEC;10;CONTRATACIÓN DIRECTA;NIT;$ 254.000.000;"US002;US006"
2021;1;Usaquén;AMBIENTE;IDPYBA;1933;35;Atender 4000 animales en urgencias, brigadas médicoveterinarias, acciones de esterilización, educación y adopción.;1156;11/10/2021;404 2021;CONTRATO DE PRESTACION DE SERVICIOS;82;CONTRATAR UN OPERADOR PARA LA IMPLEMENTACIÓN DE PROGRAMAS DE SENSIBILIZACIÓN Y ADOPCIÓN DE CANINOS Y FELINOS EN CONDICIÓN DE VULNERABILIDAD, INCLUIDOS EN EL PROYECTO DE INVERSIÓN 1933 PROTEGEMOS DE INVERSIÓN 1933 PROTEGEMOS LA VIDA Y EL BIENESTAR DE NUEST;02;SELEC. ABREV. MENOR CUANTÍA;NIT;$ 102.195.567;US002
2021;1;Usaquén;AMBIENTE;IDPYBA;1933;35;Atender 4000 animales en urgencias, brigadas médicoveterinarias, acciones de esterilización, educación y adopción.;1282;18/11/2021;161 2021 ADICION;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;43;ADICION AL CONTRATO 161-2021. APOYAR AL ALCALDE LOCAL EN LA PROMOCIÓN, ARTICULACIÓN, COMPAÑAMIENTO Y SEGUIMIENTO PARA LA ATENCIÓN Y PROTECCIÓN DE LOS ANIMALES DOMÉSTICOS Y SILVESTRES DE LA LOCALIDAD;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 5.000.000;"US002;US006"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;17;Vincular 9142 personas en actividades recreodeportivas comunitarias;690;10/02/2021;027 2021;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;180;PRESTAR LOS SERVICIOS APOYO A LA GESTIÓN DEL DESARROLLO LOCAL DE LA ALCALDÍA LOCAL DE USAQUÉN REALIZANDO LAS ACTIVIDADES CONCERNIENTES AL APOYO DEL DESARROLLO DE LOS PROYECTOS DE INVERSIÓN, SEGUIMIENTO, EVALUACIÓN Y APOYO PARA EL ALCANCE DE LA META VINCUL;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 23.928.000;"US050;US052;US054;US055"
2021;1;Usaquén;CULTURA, RECREACIÓN Y DEPORTE;IDRD;1939;17;Vincular 9142 personas en actividades recreodeportivas comunitarias;823;10/03/2021;173 2021;CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION;183;PRESTAR LOS SERVICIOS TÉCNICOS APOYANDO LAS ACTIVIDADES ADMINISTRATIVAS CONCERNIENTES AL DESARROLLO DE LOS PROYECTOS DE INVERSIÓN, SEGUIMIENTO, EVALUACIÓN Y APOYO PARA EL ALCANCE DE LA META VINCULAR 9142 PERSONAS EN ACTIVIDADES RECREO-DEPORTIVAS COMUNITAR;10;CONTRATACIÓN DIRECTA;Cedula de Ciudadanía;$ 23.880.000;"US050;US052;US054;US055"
